row_type,category,hash,name,name_en
entry,能量武器,"=""3460488074252222302""",PLAS-39 加速步枪（主武器，模型）,PLAS-39 Accelerator Rifle (Model)
entry,能量武器,"=""2877271129141764950""",LAS-5 长柄镰（主武器，模型）,LAS-5 Scythe (Model)
entry,能量武器,"=""4361428863637469552""",LAS-13 三叉戟（主武器，模型）,LAS-13 Trident (Model)
entry,能量武器,"=""9675404802175538082""",LAS-16 镰刀（主武器，模型）,LAS-16 Sickle (Model)
entry,能量武器,"=""2980234130573201393""",LAS-17 双刃镰刀（主武器，模型）,LAS-17 Double-Edge Sickle (Model)
entry,能量武器,"=""9093125700741019976""",LAS-22 切变（主武器，模型）,LAS-22 Shear (Model)
entry,能量武器,"=""535319041333920260""",ARC-12 雷霆（主武器，模型）,ARC-12 Blitzer (Model)
entry,能量武器,"=""421324886246020354""",SG-8P 等离子制裁者（主武器，模型）,SG-8P Punisher Plasma (Model)
category,主武器-特殊,,,
entry,主武器-特殊,"=""9291384900638350902""",JAR-5 主宰（主武器，模型）,JAR-5 Dominator (Model)
entry,主武器-特殊,"=""5742363029208942635""",FLAM-66 火炬手（主武器，模型）,FLAM-66 Torcher (Model)
entry,主武器-特殊,"=""17983663411446975103""",VG-70 变数（主武器，模型）,VG-70 Variable (Model)
entry,主武器-特殊,"=""5731472083741485993""",物理枪,Physical Gun (Model)
category,手枪,,,
entry,手枪,"=""424716889947522210""",P-2 和平制造者（副武器，模型）,P-2 Peacemaker (Model)
entry,手枪,"=""10177381595962512386""",P-4 参议员（副武器，模型）,P-4 Senator (Model)
entry,手枪,"=""13682483582340182029""",P-41 巡察者（副武器，模型）,P-41 Ombudsman (Model)
entry,手枪,"=""14375697644675127823""",P-69 否决者（副武器，模型）,P-69 Veto (Model)
entry,手枪,"=""1892480894983787169""",P-113 裁决（副武器，模型）,P-113 Verdict (Model)
entry,手枪,"=""3852172782311805734""",P-19 救世主（副武器，模型）,P-19 Redeemer (Model)
entry,手枪,"=""14954542309183038509""",P-92 法令（副武器，模型）,P-92 Warrant (Model)
entry,手枪,"=""5573423824998200517""",M6C/特种作战 手枪（副武器，模型）,M6C/SOCOM Pistol (Model)
category,近战,,,
entry,近战,"=""18219495801425257306""",CQC-2 军刀（副武器，模型）,CQC-2 Saber (Model)
entry,近战,"=""8731737688384722662""",CQC-42 砍刀（副武器，模型）,CQC-42 Machete (Model)
entry,近战,"=""16408494556715988068""",CQC-19 眩晕长矛（副武器，模型）,CQC-19 Stun Lance (Model)
entry,近战,"=""5966635890313573271""",CQC-30 眩晕短棍（副武器，模型）,CQC-30 Stun Baton (Model)
entry,近战,"=""9088112410931658315""",CQC-72 堑壕工具（副武器，模型）,CQC-73 Entrenchment Tool (Model)
entry,近战,"=""8467154841892407376""",CQC-5 战斗短柄斧（副武器，模型）,CQC-5 Combat Hatchet (Model)
category,副武器-特殊,,,
entry,副武器-特殊,"=""8864800879179811976""",LAS-7 匕首（副武器，模型）,LAS-7 Dagger (Model)
entry,副武器-特殊,"=""4714430103453754419""",LAS-58 猛爪（副武器，模型）,PLAS-45 Epoch (Model)
entry,副武器-特殊,"=""12279528435724053588""",PLAS-15 忠诚者（副武器，模型）,PLAS-15 Loyalist (Model)
entry,副武器-特殊,"=""5972955417680186543""",GP-31 榴弹手枪（副武器，模型）,GP-31 Grenade Pistol (Model)
entry,副武器-特殊,"=""11435027044679925718""",GP-20 最后通牒（副武器，模型）,GP-20 Ultimatum (Model)
entry,副武器-特殊,"=""3109983482551492476""",SG-22 游击兵（副武器，模型）,SG-22 Bushwhacker (Model)
entry,副武器-特殊,"=""1501339492476700580""",P-33 制导手枪（副武器，模型）,P-33 Missile Pistol (Model)
entry,副武器-特殊,"=""830958149412624616""",P-35 思想改造（副武器，模型）,P-35 Re-Educator (Model)
entry,副武器-特殊,"=""15470422196992643923""",P-11 治疗剂手枪（副武器，模型）,P-11 Stim Pistol (Model)
entry,副武器-特殊,"=""4580928717960105129""",P-72 迅击（副武器，模型）,P-72 Crisper (Model)
category,投掷武器,,,
entry,投掷武器,"=""5542218890398374779""",G-6 破片弹（投掷物，模型）,G-6 Frag (Model)
entry,投掷武器,"=""530045626612387909""",G-7 菠萝雷（投掷物，模型）,G-7 Pineapple (Model)
entry,投掷武器,"=""316723890334202692""",G-10 燃烧弹（投掷物，模型）,G-10 Incendiary (Model)
entry,投掷武器,"=""7715225218085078398""",G-12 高爆弹（投掷物，模型）,G-12 High Explosive (Model)
entry,投掷武器,"=""1456507421651509424""",TED-63 炸药（投掷物，模型）,TED-63 Dynamite(Model)
category,投掷武器-特殊,,,
entry,投掷武器-特殊,"=""17848709375785648310""",K-2 飞刀（投掷物，模型）,K-2 Throwing Knife (Model)
entry,投掷武器-特殊,"=""6766936627846269706""",G-3 烟雾弹（投掷物，模型）,G-3 Smole (Model)
entry,投掷武器-特殊,"=""294590291936179579""",G-4 毒气雷（投掷物，模型）,G-4 Gas (Model)
entry,投掷武器-特殊,"=""6635194745446284256""",G-8 焚身（投掷物，模型）,G-8 Immolation (Model)
entry,投掷武器-特殊,"=""2983879645414043401""",G-11 铁蒺藜（投掷物，模型）,G-11 Caltrops (Model)
entry,投掷武器-特殊,"=""16965724150372546684""",G-13 燃烧冲击弹（投掷物，模型）,G-13 Incendiary Impact (Model)
entry,投掷武器-特殊,"=""8540606443036588471""",G-16 冲击弹（投掷物，模型）,G-16 Impact (Model)
entry,投掷武器-特殊,"=""36176771630602099""",G-23 眩晕弹（投掷物，模型）,G-23 Stun (Model)
entry,投掷武器-特殊,"=""15821755148612569419""",G-31 电弧雷（投掷物，模型）,G-31 Arc (Model)
entry,投掷武器-特殊,"=""5058456942810545460""",G-48 千兆级榴弹（投掷物，模型）,G-48 Giga Grenade (Model)
entry,投掷武器-特殊,"=""3258790968645519416""",G-50 寻踪者（投掷物，模型）,G-50 Seeker (Model)
entry,投掷武器-特殊,"=""15760376640790925767""",G-89 烟幕（投掷物，模型）,G-89 Smokescreen (Model)
entry,投掷武器-特殊,"=""4587284938949573643""",G-109 海胆雷（投掷物，模型）,G-109 Urchin (Model)
entry,投掷武器-特殊,"=""14249494547947571097""",G-123 铝热剂（投掷物，模型）,G-123 Thermite (Model)
entry,投掷武器-特殊,"=""284602740380634958""",G-142 烟花束（投掷物，模型）,G-142 Pyrotech (Model)
entry,投掷武器-特殊,"=""11675163230052555240""",TM-1 诱饵地雷（投掷物，模型）,TM-1 Lure Mine (Model)
entry,投掷武器-特殊,"=""1989119436006646583""",G/SH-39 盾雷（投掷物，模型）,G/SH-39 Shield (Model)
entry,投掷武器-特殊,"=""2303622299803843892""",电磁冲击波手榴弹（投掷物，模型）,EMS Grenade (Model)
entry,投掷武器-特殊,"=""6918199871803715620""",破片手榴弹（投掷物，模型）,Shrapnel Grenade (Model)
entry,投掷武器-特殊,"=""14770371728907552577""",雪球,Snowball
category,驱逐舰NPC与装饰物,,,
entry,驱逐舰NPC与装饰物,"=""7587445649108074590""",舰长,Officer (No Package)
entry,驱逐舰NPC与装饰物,"=""16841371283351459334""",舰长MK2,Officer MK2 (No Package)
entry,驱逐舰NPC与装饰物,"=""14970376349450767867""",舰长笔记本电脑（挂载点）,Officer's Laptop
entry,驱逐舰NPC与装饰物,"=""2210598302234166538""",民主官,Officer MK2 (No Package)
entry,驱逐舰NPC与装饰物,"=""850711056443892715""",技术员,Officer MK3 (No Package)
entry,驱逐舰NPC与装饰物,"=""5556372446766824087""",玩家本体,Player Clone (Avatar)
entry,驱逐舰NPC与装饰物,"=""6573294226403228713""",护甲架,Avatar Stance
entry,驱逐舰NPC与装饰物,"=""7517413542877783132""",绝地喷射舱盖子,Hellpod Launcher
entry,驱逐舰NPC与装饰物,"=""4509239933806400256""",未激活绝地喷射舱,Hellpod Launcher Deactivated
entry,驱逐舰NPC与装饰物,"=""8685302826332299227""",舰船绝地喷射舱传送系统,Ship Hellpod Delivery System
entry,驱逐舰NPC与装饰物,"=""1158920509361829091""",舰船鹈鹕（模型）,Ship Pelican (Model)
entry,驱逐舰NPC与装饰物,"=""3625837961553494781""",舰船终端互动,Ship Terminal
entry,驱逐舰NPC与装饰物,"=""3969673985818503563""",电钻,Electric Drill
category,超级地球阵营实体,,,
entry,超级地球阵营实体,"=""8806287475843878476""",SEAF,SEAF
entry,超级地球阵营实体,"=""152751642744350684""",SEAF（城市）,SEAF (City)
entry,超级地球阵营实体,"=""8915267618049288052""",SEAF MK2,SEAF MK2
entry,超级地球阵营实体,"=""8551258691157289819""",SEAF MK3,SEAF MK3
entry,超级地球阵营实体,"=""11443622823540644031""",SEAF MK4,SEAF MK4
entry,超级地球阵营实体,"=""8504775301976409203""",SEAF MK5,SEAF MK5
entry,超级地球阵营实体,"=""16891129885021732171""",SEAF MK6,SEAF MK6
entry,超级地球阵营实体,"=""5665867425781079008""",SEAF MK7,SEAF MK7
entry,超级地球阵营实体,"=""10905791748048507965""",SEAF MK8,SEAF MK8
entry,超级地球阵营实体,"=""11457796999526261852""",SEAF 机枪手,SEAF MG
entry,超级地球阵营实体,"=""5385448928519479034""",平民,Civilian
entry,超级地球阵营实体,"=""5555647998940836938""",平民 MK2,Civilian MK2
entry,超级地球阵营实体,"=""3836043307793934489""",平民 MK3,Civilian MK3
entry,超级地球阵营实体,"=""7712844951779243309""",平民 MK4,Civilian MK4
entry,超级地球阵营实体,"=""3754586476635072036""",平民 MK5,Civilian MK5
entry,超级地球阵营实体,"=""14706222259390606723""",平民 MK6,Civilian MK6
entry,超级地球阵营实体,"=""16507283781696478269""",平民 MK7,Civilian MK7
entry,超级地球阵营实体,"=""10665281465322007152""",平民 MK8,Civilian MK8
entry,超级地球阵营实体,"=""17943362722330235151""",撤离的科学家 男,Extractable Worker Male
entry,超级地球阵营实体,"=""14040307618832651425""",撤离的科学家 男MK2,Extractable Worker Male MK2
entry,超级地球阵营实体,"=""7444362792725516608""",撤离的科学家 男MK3,Extractable Worker Male MK3
entry,超级地球阵营实体,"=""1232841523375292236""",撤离的科学家 男MK4,Extractable Worker Male MK4
entry,超级地球阵营实体,"=""1024464436030047776""",撤离的科学家 女,Extractable Worker Female
entry,超级地球阵营实体,"=""9683243174428770658""",撤离的科学家 女MK2,Extractable Worker Female MK2
entry,超级地球阵营实体,"=""10179078936557797909""",撤离的科学家 女MK3,Extractable Worker Female MK3
entry,超级地球阵营实体,"=""15395181080776134584""",撤离的科学家 女MK4,Extractable Worker Female MK4
category,进攻型-轨道类,,,
entry,进攻型-轨道类,"=""14454233564159978284""",轨道精准攻击,Orbital Presicion Strike
entry,进攻型-轨道类,"=""428906543397164902""",轨道毒气攻击,Orbital Gas Strike
entry,进攻型-轨道类,"=""15418256429181436981""",轨道毒气攻击（占位符）,Orbital Gas Strike (Shell)
entry,进攻型-轨道类,"=""8480614394778878677""",轨道空爆攻击,Orbital Airburst Strike
entry,进攻型-轨道类,"=""1557793363170559029""",轨道空爆攻击（占位符）,Orbital Airburst Strike (Shell)
entry,进攻型-轨道类,"=""15741945895218221769""",轨道烟雾攻击,Orbital Smoke Strike
entry,进攻型-轨道类,"=""1975855326460511285""",轨道烟雾攻击（占位符）,Orbital Smoke Strike (Shell)
entry,进攻型-轨道类,"=""12399142748360190921""",轨道炮攻击,Orbital Railcannon
entry,进攻型-轨道类,"=""12461683779649274933""",轨道炮攻击（占位符）,Orbital Railcannon (Shell)
entry,进攻型-轨道类,"=""6193421986545774326""",轨道电磁冲击波攻击,Orbital EMS Strike
entry,进攻型-轨道类,"=""16669109935530705973""",轨道电磁冲击波攻击（占位符）,Orbital EMS Strike (Shell)
entry,进攻型-轨道类,"=""17020640004553544635""",轨道激光炮,Orbital Laser
entry,进攻型-轨道类,"=""3397257356679758881""",轨道加特林火力网,Orbital Gatling Barrage
entry,进攻型-轨道类,"=""2586731142""",轨道加特林火力网（占位符）,Orbital Gatling Barrage (Shell)
entry,进攻型-轨道类,"=""11631307996670093680""",轨道凝固汽油弹火力网,Orbital Napalm Barrage
entry,进攻型-轨道类,"=""1992076760807506997""",轨道凝固汽油弹火力网（占位符）,Orbital Napalm Barrage (Shell)
entry,进攻型-轨道类,"=""3259427501513118129""",轨道120MM高爆弹火力网,Orbital 120MM HE Barrage
entry,进攻型-轨道类,"=""17250673437555536342""",轨道380MM高爆弹火力网,Orbital 380MM HE Barrage
entry,进攻型-轨道类,"=""14663462306863854060""",轨道游走火力网,Orbital Walking Barrage
entry,进攻型-轨道类,"=""2827764056717132853""",轨道游走火力网（占位符）,Orbital Walking Barrage (Shell)
entry,进攻型-轨道类,"=""9802092988557504399""",叛徒火力网,Traitor Execution Barrage
entry,进攻型-轨道类,"=""4400483397467331392""",轨道照明弹,Orbital Illumination Flare
category,进攻型-飞鹰类,,,
entry,进攻型-飞鹰类,"=""2568747792294183916""",飞鹰机枪扫射,Eagle Strafe Run
entry,进攻型-飞鹰类,"=""1557793364787817407""",飞鹰机枪扫射（占位符）,Eagle Strafe Run (Shell)
entry,进攻型-飞鹰类,"=""18223572581977941174""",飞鹰机炮（模型，废案）,Eagle Cannon (Model)
entry,进攻型-飞鹰类,"=""4140939466573601321""",飞鹰110火箭巢,Eagle 110MM Rocket Pods
entry,进攻型-飞鹰类,"=""15427223248770919359""",飞鹰110火箭巢（占位符）,Eagle 110MM Rocket Pods (Shell)
entry,进攻型-飞鹰类,"=""1048253586034524965""",飞鹰火箭发射器（左，模型）,Eagle 110MM Rocket Pods Left (Model)
entry,进攻型-飞鹰类,"=""5216613704205457395""",飞鹰火箭发射器（右，模型）,Eagle 110MM Rocket Pods Right (Model)
entry,进攻型-飞鹰类,"=""5344291599364980417""",飞鹰火箭发射器（旧模型）,Eagle 110MM Rocket Pods (Model)
entry,进攻型-飞鹰类,"=""16450357640400839941""",飞鹰500KG炸弹,Eagle 500KG Bomb
entry,进攻型-飞鹰类,"=""2827764058334391231""",飞鹰500KG炸弹（占位符）,Eagle 500KG Bomb (Shell)
entry,进攻型-飞鹰类,"=""14855805920191068159""",火箭（无包裹模型）,Rocket (No Package)
entry,进攻型-飞鹰类,"=""16121648674137865605""",飞鹰空对空导弹,Eagle Air-To-Air Missiles
entry,进攻型-飞鹰类,"=""8931113654844353471""",飞鹰空对空导弹（占位符）,Eagle Air-To-Air Missiles (Shell)
entry,进攻型-飞鹰类,"=""16983968416304026806""",飞鹰导弹（模型）,Eagle Missile (Model)
entry,进攻型-飞鹰类,"=""851455025217071569""",飞鹰快速打击,Eagle Fast Strike
entry,进攻型-飞鹰类,"=""3359716870288230953""",飞鹰空袭,Eagle Airstrike
entry,进攻型-飞鹰类,"=""1962385103464102102""",飞鹰烟雾,Eagle Air Strike Smoke
entry,进攻型-飞鹰类,"=""1975855328077769663""",飞鹰烟雾（占位符）,Eagle Air Strike Smoke (Shell)
entry,进攻型-飞鹰类,"=""11335415903596859741""",飞鹰集束炸弹,Eagle Cluster Bomb
entry,进攻型-飞鹰类,"=""14299138964511222719""",飞鹰集束炸弹（占位符）,Eagle Cluster Bomb (Shell)
entry,进攻型-飞鹰类,"=""2862976050209719244""",飞鹰凝固汽油弹,Eagle Napalm Airstrike (Shell)
entry,进攻型-飞鹰类,"=""1992076762424765375""",飞鹰凝固汽油弹（占位符）,Eagle Napalm Airstrike (Shell)
category,补给型-支援武器-近战,,,
entry,补给型-支援武器-近战,"=""16975580601286218750""",CQC-1 唯一真旗帜（支架）,CQC-1 One True Flag (Hellpod)
entry,补给型-支援武器-近战,"=""12750169196543686872""",CQC-1 唯一真旗帜（模型）,CQC-1 One True Flag (Model)
entry,补给型-支援武器-近战,"=""9196357621753489238""",CQC-9 除叶工具（支架）,CQC-9 Defoliation Tool (Hellpod)
entry,补给型-支援武器-近战,"=""13784670920243131812""",CQC-9 除叶工具（模型）,CQC-9 Defoliation Tool (Model)
entry,补给型-支援武器-近战,"=""10212114617817310457""",CQC-20 破门锤（支架）,CQC-20 Breaching Hammer (Hellpod)
entry,补给型-支援武器-近战,"=""6863144698475545939""",CQC-20 破门锤（模型）,CQC-20 Breaching Hammer (Model)
category,补给型-支援武器-机枪,,,
entry,补给型-支援武器-机枪,"=""3586234782721573506""",M-105 盟友（支架）,M-105 Stalwart (Hellpod)
entry,补给型-支援武器-机枪,"=""12008625947668001407""",M-105 盟友（模型）,M-105 Stalwart (Model)
entry,补给型-支援武器-机枪,"=""1573296579562737333""",M-105 盟友 MK2（模型）,M-105 Stalwart MK2 (Model)
entry,补给型-支援武器-机枪,"=""12984499893943104780""",M-105 盟友 MK3（模型）,M-105 Stalwart MK3 (Model)
entry,补给型-支援武器-机枪,"=""13357795631455978434""",M-105 盟友 MK4（模型）,M-105 Stalwart MK4 (Model)
entry,补给型-支援武器-机枪,"=""15365965494753326077""",M-105 盟友 MK5（模型）,M-105 Stalwart MK5 (Model)
entry,补给型-支援武器-机枪,"=""10719993517856893473""",MG-43 机枪（支架）,MG-43 Machine Gun (Hellpod)
entry,补给型-支援武器-机枪,"=""1279722939363854678""",MG-43 机枪（模型）,MG-43 Machine Gun (Model)
entry,补给型-支援武器-机枪,"=""1141864099511539165""",MG-206 重机枪（支架）,MG-206 Heavy Machine Gun (Hellpod)
entry,补给型-支援武器-机枪,"=""2401215835282261016""",MG-206 重机枪（模型）,MG-206 Heavy Machine Gun (Model)
entry,补给型-支援武器-机枪,"=""14005565984326167830""",MG-206 重机枪MK2（模型）,MG-206 Heavy Machine Gun MK2 (Model)
entry,补给型-支援武器-机枪,"=""14772015414747343144""",MG-206 重机枪MK3（模型）,MG-206 Heavy Machine Gun MK3 (Model)
category,补给型-支援武器-狙击,,,
entry,补给型-支援武器-狙击,"=""13125214096466681673""",RS-422 磁轨炮（支架）,RS-422 Railgun (Hellpod)
entry,补给型-支援武器-狙击,"=""3358853937828503136""",RS-422 磁轨炮（模型）,RS-422 Railgun (Model)
entry,补给型-支援武器-狙击,"=""6678650487122301993""",S-11 矛枪（支架）,S-11 Speargun (Hellpod)
entry,补给型-支援武器-狙击,"=""4046732776742447255""",S-11 矛枪（模型）,S-11 Speargun (Model)
entry,补给型-支援武器-狙击,"=""9879448964426328539""",APW-1 反器材步枪（支架）,APW-1 Anti-Materiel Rifle (Hellpod)
entry,补给型-支援武器-狙击,"=""9927421484392399367""",APW-1 反器材步枪（模型）,APW-1 Anti-Materiel Rifle (Model)
category,补给型-支援武器-爆炸武器,,,
entry,补给型-支援武器-爆炸武器,"=""5096354858712799022""",PLAS-45 纪元（支架）,PLAS-45 Epoch (Hellpod)
entry,补给型-支援武器-爆炸武器,"=""16777584932715761236""",PLAS-45 纪元（模型）,PLAS-45 Epoch (Model)
entry,补给型-支援武器-爆炸武器,"=""2315516436421582687""",GL-21 榴弹发射器（支架）,GL-21 Grenade Launcher (Hellpod)
entry,补给型-支援武器-爆炸武器,"=""211331680192206384""",GL-21 榴弹发射器（模型）,GL-21 Grenade Launcher (Model)
entry,补给型-支援武器-爆炸武器,"=""2114795373903595840""",GL-21 榴弹发射器MK2（模型）,GL-21 Grenade Launcher MK2 (Model)
entry,补给型-支援武器-爆炸武器,"=""3415909520450653186""",GL-52 缓和使者（支架）,GL-52 De-Escalator (Hellpod)
entry,补给型-支援武器-爆炸武器,"=""18319281757224320923""",GL-52 缓和使者（模型）,GL-52 De-Escalator (Model)
category,补给型-支援武器-射流武器,,,
entry,补给型-支援武器-射流武器,"=""16793772489963160606""",FLAM-40 火焰喷射器（支架）,FLAM-40 Flame Thrower (Hellpod)
entry,补给型-支援武器-射流武器,"=""4155583896232633279""",FLAM-40 火焰喷射器（模型）,FLAM-40 Flame Thrower (Model)
entry,补给型-支援武器-射流武器,"=""13534862741616025304""",TX-41 灭菌器（支架）,TX-41 Sterilizer (Hellpod)
entry,补给型-支援武器-射流武器,"=""9869105320050739364""",TX-41 灭菌器（模型）,TX-41 Sterilizer (Model)
category,补给型-支援武器-能量武器,,,
entry,补给型-支援武器-能量武器,"=""18294292771580135983""",LAS-98 激光大炮（支架）,LAS-98 Laser Cannon (Hellpod)
entry,补给型-支援武器-能量武器,"=""15369542005276747891""",LAS-98 激光大炮（模型）,LAS-98 Laser Cannon (Model)
entry,补给型-支援武器-能量武器,"=""7470354883998204659""",LAS-99 类星体加农炮（支架）,LAS-99 Quasar Cannon (Hellpod)
entry,补给型-支援武器-能量武器,"=""3865797767236207742""",LAS-99 类星体加农炮（模型）,LAS-99 Quasar Cannon (Model)
entry,补给型-支援武器-能量武器,"=""5546703783041515346""",ARC-3 电弧发射器（支架）,ARC-3 Arc Thrower (Hellpod)
entry,补给型-支援武器-能量武器,"=""10871298989420119782""",ARC-3 电弧发射器（模型）,ARC-3 Arc Thrower (Model)
category,补给型-支援武器-消耗性武器,,,
entry,补给型-支援武器-消耗性武器,"=""992939827990506476""",EAT-17 消耗性反坦克武器（支架）,EAT-17 Expendable Anti-Tank (Hellpod)
entry,补给型-支援武器-消耗性武器,"=""9264801226655597011""",EAT-17 消耗性反坦克武器（模型）,EAT-17 Expendable Anti-Tank (Model)
entry,补给型-支援武器-消耗性武器,"=""9988513589272608914""",EAT-411 荡平者（支架）,EAT-411 Leveller (Hellpod)
entry,补给型-支援武器-消耗性武器,"=""8509380141312129223""",EAT-411 荡平者（模型）,EAT-411 Leveller (Model)
entry,补给型-支援武器-消耗性武器,"=""2353971082640043615""",EAT-700 消耗性凝固汽油弹（支架）,EAT-700 Expendable Napalm (Hellpod)
entry,补给型-支援武器-消耗性武器,"=""12877445900026273694""",EAT-700 消耗性凝固汽油弹（模型）,EAT-700 Expendable Napalm (Model)
entry,补给型-支援武器-消耗性武器,"=""11594114104552493871""",MLS-4X 突击兵（支架）,MLS-4X Commando (Hellpod)
entry,补给型-支援武器-消耗性武器,"=""6453678319562593995""",MLS-4X 突击兵（模型）,MLS-4X Commando (Model)
entry,补给型-支援武器-消耗性武器,"=""14444545864073080978""",MGX-42 子弹风暴（支架）,MGX-42 Bullet Storm (Hellpod)
entry,补给型-支援武器-消耗性武器,"=""12784766379234794359""",MGX-42 子弹风暴（模型）,MGX-42 Bullet Storm (Model)
entry,补给型-支援武器-消耗性武器,"=""16003672528522815935""",MS-11 单兵导弹发射井（本体）,Mini Missile Silo (Hellpod)
entry,补给型-支援武器-消耗性武器,"=""18163938711866866090""",MS-11 单兵导弹发射井（激光指示器）,Mini Missile Silo Target Designator (Model)
category,补给型-支援武器-弹药背包武器,,,
entry,补给型-支援武器-弹药背包武器,"=""6863983759145391137""",AC-8 机炮（支架）,AC-8 Autocannon (Hellpod)
entry,补给型-支援武器-弹药背包武器,"=""12164217308285983839""",AC-8 机炮（武器，模型）,AC-8 Autocannon (Model)
entry,补给型-支援武器-弹药背包武器,"=""16576307969206587212""",AC-8 机炮（背包，模型）,AC-8 Autocannon Backpack (Model)
entry,补给型-支援武器-弹药背包武器,"=""15991884556147755475""",GR-8 无后坐力炮（支架）,GR-8 Recoilless Rifle (Hellpod)
entry,补给型-支援武器-弹药背包武器,"=""11493422068836852751""",GR-8 无后坐力炮（武器，模型）,GR-8 Recoilless Rifle (Model)
